id,cnpj,created_at,updated_at,nome_fantasia,sap,razao,regional
54,12523304000112,"2017-09-26 15:07:39.291052","2017-09-26 15:07:39.291052","HC COMERCIO E SERVICOS","","C M S MARTINS - ME",Fortaleza
55,05383078000156,"2017-09-26 15:07:39.320821","2017-09-26 15:07:39.320821",SIVNET,"","C P SARMENTO - ME",Fortaleza
56,03481331000189,"2017-09-26 15:07:39.339447","2017-09-26 15:07:39.339447","VIP ONLINE","","C. S. TAVARES - ME","Brasília"
57,08646215000196,"2017-09-26 15:07:39.354842","2017-09-26 15:07:39.354842","LINK WAP TELECOMUNICAÇÕES","","C.M & TELECOMUNICACÕES PROVEDOR NET DO BRASIL LTDA - ME","Brasília"
58,00360305000104,"2017-09-26 15:07:39.377564","2017-09-26 15:07:39.377564",CEF,"","CAIXA ECONÔMICA FEDERAL",Governo
59,12274997000157,"2017-09-26 15:07:39.397332","2017-09-26 15:07:39.397332","NET SUPER","","CAPIXABA TELECOMUNICAÇÃO","Rio de Janeiro"
60,10735362000184,"2017-09-26 15:07:39.417606","2017-09-26 15:07:39.417606","Carolina Online","","CAROLINA ONLINE COMUNICAÇÕES MULTIMÍDIA ",Fortaleza
61,00394429000372,"2017-09-26 15:07:39.443157","2017-09-26 15:07:39.443157","CENTRO DE COMPUTACAO DA AERONAUTICA DO RIO DE JANEIRO","","CCA - COMANDO DA AERONAUTICA","Rio de Janeiro"
62,02983428000127,"2017-09-26 15:07:39.467150","2017-09-26 15:07:39.467150","Cemig Telecom","","CEMIG TELECOMUNICAÇÕES S.A.","Rio de Janeiro"
63,07129796000126,"2017-09-26 15:07:39.489396","2017-09-26 15:07:39.489396",CENSIPAM,"","CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTEÇÃO DA AMAZÔNIA",Governo
64,10955922000106,"2017-09-26 15:07:39.510692","2017-09-26 15:07:39.510692","Maxx Speed Internet","","CENTRO OESTE TELECOM LTDA","Brasília"
65,15420705000135,"2017-09-26 15:07:39.530648","2017-09-26 15:07:39.530648",CERILUZ,"","CERILUZ PROVEDORES DE INTERNET LTDA","Porto Alegre"
66,89398473000100,"2017-09-26 15:07:39.553007","2017-09-26 15:07:39.553007",PROCEMPA,"","CIA DE PROCES. DE DADOS MUNICÍPIO DE PORTO ALEGRE","Porto Alegre"
67,04127856000183,"2017-09-26 15:07:39.577357","2017-09-26 15:07:39.577357",FASTERNET,"","CILNET COMUNICAÇÃO E INFORMATICA LTDA","São Paulo"
68,07518297000120,"2017-09-26 15:07:39.604869","2017-09-26 15:07:39.604869",CITEX,"","CITEX - CENTRO INTEGRADO DE TELEMÁTICA DO EXÉRCITO","Brasília"
69,09336143000143,"2017-09-26 15:07:39.661916","2017-09-26 15:07:39.661916","CITYDATA TELECOMUNICAÇÕES LTDA - ME","","CITYDATA TELECOMUNICAÇÕES LTDA - ME","Porto Alegre"
70,11325221000237,"2017-09-26 15:07:39.681926","2017-09-26 15:07:39.681926","CLICK NET","","CLICK NET BRASIL INFORMÁTICA E TELECOMUNICAÇÕES","Brasília"
71,07764696000171,"2017-09-26 15:07:39.706642","2017-09-26 15:07:39.706642","Net Velox","","CLINIC INFORMÁTICA LTDA","Brasília"
72,08182940000150,"2017-09-26 15:07:39.728358","2017-09-26 15:07:39.728358","COELHO TECNOLOGIA","","COELHO TECNOLOGIA EIRELI - ME","Belém"
73,00608711000143,"2017-09-26 15:07:39.748813","2017-09-26 15:07:39.748813",COLINA,"","COLINA SERVIÇOS DE TELECOMUNICAÇÕES","Brasília"
74,00394452025009,"2017-09-26 15:07:39.773705","2017-09-26 15:07:39.773705",COLOG,"","COLOG - COMANDO LOGÍSTICO DO EXÉRCITO",Governo
75,00394429013350,"2017-09-26 15:07:39.798330","2017-09-26 15:07:39.798330",COMAER,"","COMAER - COMANDO DA AERONAUTICA",Governo
76,09635270000143,"2017-09-26 15:07:39.820225","2017-09-26 15:07:39.820225","COMANDO DA 8ª REGIAO MILITAR E 8ª DIVISA","","COMANDO DA 8ª REGIAO MILITAR E 8ª DIVISAO DO EXERCITO",Governo
77,10207029000100,"2017-09-26 15:07:39.848404","2017-09-26 15:07:39.848404","COMANDO DO COMANDO MILITAR DA AMAZÔNIA","","COMANDO DO COMANDO MILITAR DA AMAZÔNIA",Governo
78,00394452053487,"2017-09-26 15:07:39.871235","2017-09-26 15:07:39.871235","CENTRO DE DEFESA CIBERNÉTICA - CDCIBER","","COMANDO DO EXERCITO",Governo
79,00394452055188,"2017-09-26 15:07:39.891706","2017-09-26 15:07:39.891706","CENTRO DE INTELIGENCIA DO EXERCITO","","COMANDO DO EXERCITO (2)","Brasília"
80,96068200001004,"2017-09-26 15:07:39.912180","2017-09-26 15:07:39.912180","COMANDO MILITAR SUL","","COMANDO MILITAR SUL",Governo
81,41814930000166,"2017-09-26 15:07:39.936954","2017-09-26 15:07:39.936954","VITAL NET","","COMARCA PIUMHI LTDA","Rio de Janeiro"
82,00091652001401,"2017-09-26 15:07:39.956175","2017-09-26 15:07:39.956175",CPRM,"","COMPANHIA DE PESQUISA DE RECURSOS MINERAIS",Governo
83,02985578000170,"2017-09-26 15:07:39.980239","2017-09-26 15:07:39.980239",COMPUSERVICE,"","COMPUSERVICE EMPREENDIMENTOS LTDA","Belém"
84,09310842000114,"2017-09-26 15:07:40.004761","2017-09-26 15:07:40.004761","CONDOMINIO BELVEDERE","","CONDOMINIO BELVEDERE","Brasília"
85,10723327000145,"2017-09-26 15:07:40.023983","2017-09-26 15:07:40.023983","CONECTMAIS TELECOM","","CONECTMAIS COMUNICAÇÕES LTDA. ME","Rio de Janeiro"
86,09604757000169,"2017-09-26 15:07:40.047195","2017-09-26 15:07:40.047195",SADNET,"","CONNECTION MULTIMÍDIA TELECOMUNICAÇÕES  LTDA","Brasília"
87,14702767000177,"2017-09-26 15:07:40.067670","2017-09-26 15:07:40.067670",CAU,"","CONSELHO DE ARQUITETURA E URBANISMO DO BRASIL",Governo
88,21699889000117,"2017-09-26 15:07:40.092692","2017-09-26 15:07:40.092692",COREN-MG,"","CONSELHO REGIONAL DE ENFERMAGEM DE MINAS GERAIS","Rio de Janeiro"
89,12848641000180,"2017-09-26 15:07:40.119725","2017-09-26 15:07:40.119725","COONEXÃO INFORMATICA","","COONEXÃO TELECOM E INFORMÁTICA EIRELI","Belém"
90,04368865000166,"2017-09-26 15:07:40.134484","2017-09-26 15:07:40.134484",COPEL,"","COPEL TELECOMUNICAÇÕES S-A","Porto Alegre"
91,09238990000175,"2017-09-26 15:07:40.152269","2017-09-26 15:07:40.152269",COPREL,"","COPREL TELECOM LTDA","Porto Alegre"
92,14506948000128,"2017-09-26 15:07:40.171523","2017-09-26 15:07:40.171523",TURBONET,"","CRISTIANO NUNES DA SILVA - ME","Brasília"
93,09473770000126,"2017-09-26 15:07:40.192246","2017-09-26 15:07:40.192246","CONECTLAN SERVIÇOS  DE INTERNET","","CST SERVIÇOS DE INTERNET LTDA-ME","Brasília"
94,04622116000113,"2017-09-26 15:07:40.216114","2017-09-26 15:07:40.216114","ALGAR TELECOM","","CTBC MULTIMÍDIA DATA NET S-A","Rio de Janeiro"
95,03897438000102,"2017-09-26 15:07:40.255357","2017-09-26 15:07:40.255357","LIDER INFORMATICA","","D & D INFORMATICA LTDA - ME","Belém"
96,41644220000135,"2017-09-26 15:07:40.271436","2017-09-26 15:07:40.271436","DB3 TELECOM","","DB3 SERVIÇOS DE TELECOMUNICAÇÕES",Fortaleza
97,68729649000181,"2017-09-26 15:07:40.289466","2017-09-26 15:07:40.289466",DBSERVER,"","DBSERVER ASSESSORIA E SISTEMA DE INFORMAÇÃO","Porto Alegre"
98,10415167000177,"2017-09-26 15:07:40.312377","2017-09-26 15:07:40.312377","VIRTUAL INFORMÁTICA PROVEDOR DE INTERNET","","DE ALMEIDA E MENSCH - PROVEDOR DE INTERNET LTDA","Porto Alegre"
99,16550861000183,"2017-09-26 15:07:40.332111","2017-09-26 15:07:40.332111",DBT,"","DELTA BROADBAND TELECOM PROVEDORES INTERNET",Fortaleza
100,00394494010441,"2017-09-26 15:07:40.351984","2017-09-26 15:07:40.351984",DPRF,"","DEPARTAMENTO DE POLÍCIA RODOVIÁRIA FEDERAL",Governo
101,00394452027133,"2017-09-26 15:07:40.371552","2017-09-26 15:07:40.371552","DEPARTAMENTO GERAL DO PESSOAL (DGP)","","DEPARTAMENTO GERAL DO PESSOAL - COMANDO DO EXÉRCITO",Governo
102,09720168000146,"2017-09-26 15:07:40.395994","2017-09-26 15:07:40.395994",WILLYNET,"","DIEGO HINZ SOARES - ME","Porto Alegre"
103,11972556000166,"2017-09-26 15:07:40.416775","2017-09-26 15:07:40.416775","SEM FRONTEIRAS - INTERNET BANDA LARGA","","DJEAN OLIVEIRA BEZERRA - ME","Belém"
104,12450258000179,"2017-09-26 15:07:40.459018","2017-09-26 15:07:40.459018","SPEED NET","","DL SOUZA E CIA LTDA","Brasília"
105,08636618000154,"2017-09-26 15:07:40.483280","2017-09-26 15:07:40.483280","DYNATEC INFORMÁTICA","","DYNATEC INFORMATICA LTDA - ME","Brasília"
106,12523391000108,"2017-09-26 15:07:40.500843","2017-09-26 15:07:40.500843","GARRA TELECOM","","E. MARCIANO DA SILVA E CIA LTDA","Brasília"
107,10940364000105,"2017-09-26 15:07:40.520674","2017-09-26 15:07:40.520674","PROVEDOR UNIVERSAL","","EBER DEJANI PEREIRA DE ALBERNAZ E CIA LTDA - ME","Porto Alegre"
108,00357038000116,"2017-09-26 15:07:40.540873","2017-09-26 15:07:40.540873",ELETRONORTE,"","ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.",Governo
109,00073957000168,"2017-09-26 15:07:40.563131","2017-09-26 15:07:40.563131",ELETROSUL,"","ELETROSUL CENTRAIS ELÉTRICAS S.A.",Governo
110,09168704000142,"2017-09-26 15:07:40.584986","2017-09-26 15:07:40.584986","EBC TV BRASIL","","EMPRESA BRASIL DE COMUNICACAO S.A. - EBC",Governo
111,34028316000103,"2017-09-26 15:07:40.603750","2017-09-26 15:07:40.603750",CORREIOS,"","EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS",Governo
112,07607851000146,"2017-09-26 15:07:40.624541","2017-09-26 15:07:40.624541",HEMOBRAS,"","EMPRESA BRASILEIRA DE HEMODERIVADOS E BIOTECNOLOGIA - HEMOBRAS","Brasília"
113,08519692000190,"2017-09-26 15:07:40.643113","2017-09-26 15:07:40.643113","OLÉ TELECOM","","EMPRESA CATARINENSE DE TECNOLOGIA EM TELECOMUNICAÇÕES LTDA","Porto Alegre"
114,05059613000118,"2017-09-26 15:07:40.658361","2017-09-26 15:07:40.658361",PRODEPA,"","EMPRESA DE PROCESSAMENTO DE DADOS DO ESTADO DO PARA",Governo
115,42422253001418,"2017-09-26 15:07:40.683351","2017-09-26 15:07:40.683351",DATAPREV,"","EMPRESA DE TECNOLOGIA E INFORMACOES DA PREVIDENCIA - DATAPREV",Governo
116,80995822000199,"2017-09-26 15:07:40.704070","2017-09-26 15:07:40.704070","ENGEPLUS TELECOM","","ENGEPLUS TELECOM LTDA - EPP","Porto Alegre"
117,10780881000164,"2017-09-26 15:07:40.725559","2017-09-26 15:07:40.725559",ENGETEC,"","ENGETEC TECNOLOGIA S.A.","Rio de Janeiro"
118,08417524000194,"2017-09-26 15:07:40.748628","2017-09-26 15:07:40.748628",ESTREITONET,"","ESTREITONET LTDA","Brasília"
119,00394452000103,"2017-09-26 15:07:40.766754","2017-09-26 15:07:40.766754","CIE - Centro de Inteligência do Exército","","EXÉRCITO BRASILEIRO - GABINETE DO COMANDANTE",Governo
120,07518297000120,"2017-09-26 15:07:40.787886","2017-09-26 15:07:40.787886","EXÉRCITO BRASILEIRO","","EXÉRCITO BRASILEIRO ? 7º CENTRO DE COMUNICAÇÕES E  TELEMÁTICA DE ÁREA",Governo
